gid;Titre;Artistes;Nationalité;Description;rue;Numéro;Code postal;Date;Site;Geo Point;Geo Shape
25;Hommage à Chet Baker;Jérémy GOFFART;Belge;Peinture monumentale sur mur pignon en éternit et briques;rue Charles Morren;13;4000;2012;https://www.liege.be/fr/annuaire/palissart/chet-baker-par-jeremy-goffart;50.6327049011, 5.5626109376;"{""coordinates"": [5.5626109376, 50.6327049011], ""type"": ""Point""}"
104;Ariane 6 et Véga-C;SPRAY CAN ARTS;Belge;peinture monumentale sur pignon de briques;rue Valdor;5;4020;2024;https://www.liege.be/fr/annuaire/palissart/39_ariane-6-spray-can-arts;50.6372814138, 5.5869111693;"{""coordinates"": [5.5869111693, 50.6372814138], ""type"": ""Point""}"
107;Could heaven ever be like this?;TOSKA;Belge;Peinture monumentale sur pignon de briques;rue Sainte-Marguerite;50;4000;2022;https://www.liege.be/fr/annuaire/palissart/30could-heaven-ever-be-like-this-par-toska;50.6457018276, 5.5614604976;"{""coordinates"": [5.5614604976, 50.6457018276], ""type"": ""Point""}"
110;Shake Hands;PREF;Anglaise;Peinture monumentale sur pignon de briques;rue Paradis;68;4000;2022;https://www.liege.be/fr/annuaire/palissart/28shake-hands-par-pref;50.6267667923, 5.5704383976;"{""coordinates"": [5.5704383976, 50.6267667923], ""type"": ""Point""}"
111;Hommage à Arthur Haulot (1);Maud DALLEMAGNE et Marie SION;Belge;Peinture sur pignon de briques;rue Vaudrée;40;4031;2024;https://www.liege.eu/fr/decouvrir/plein-air/art-public/hommage-arthur-haulot;50.6127691718, 5.5978536;"{""coordinates"": [5.5978536, 50.6127691718], ""type"": ""Point""}"
114;Solidarité;PINK PAINTER;Belge;Peinture monumentale sur pignon de briques;rue du Gravier;49;4032;2024;https://www.liege.eu/fr/annuaire/palissart/38_solidarite_par_pink_painter;50.61028445, 5.6161197135;"{""coordinates"": [5.6161197135, 50.61028445], ""type"": ""Point""}"
115;Gazoline;IOTA;Belge;Peinture monumentale sur bardage métallique;bd de la Constitution;143;4020;2022;https://www.liege.eu/fr/annuaire/palissart/32gazoline-par-iota;50.6453705149, 5.5920352418;"{""coordinates"": [5.5920352418, 50.6453705149], ""type"": ""Point""}"
6;Sans titre;HELL'O MONSTERS;Belge;Peinture monumentale sur arrière de maisons, brique et béton;rue des Aveugles;;4000;2015;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-hello-monsters;50.6475070605, 5.5849071851;"{""coordinates"": [5.5849071851, 50.6475070605], ""type"": ""Point""}"
24;Hommage au Jazz 1;Jérémy GOFFART;Belge;Peinture monumentale sur mur pignon en éternit et briques;rue de Sluse;;4000;2002;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/telechargement/cp-palissart.pdf;50.6327272157, 5.5613609585;"{""coordinates"": [5.5613609585, 50.6327272157], ""type"": ""Point""}"
28;Bicentenaire de l'Université de Liège;OSREV, PIFAR, ERBERY, THISSE, ECTO, SOKE, J-BOY, 2SHY, RAIONE;;Peinture monumentale collective sur panneaux;place du XX Août;;4000;2017;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-uliege;50.6403387467, 5.5757030642;"{""coordinates"": [5.5757030642, 50.6403387467], ""type"": ""Point""}"
16;Sans titre;PSOMAN;Belge;Peinture monumentale sur panneaux;rue Roture,place Gabriel;;4020;2018;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-psoman;50.6401278856, 5.5828206643;"{""coordinates"": [5.5828206643, 50.6401278856], ""type"": ""Point""}"
